#log[T] redshift massfrac  log[nh] ne/nh     mu    tcool     Lambdanet   ionf[ 1]   ionf[ 2]   ionf[ 3]   ionf[ 4]   ionf[ 5]   ionf[ 6]   ionf[ 7]   
 6.44   0.00     2.067e-03 -4.000  1.208e+00 0.618 8.659e+09 -4.783e-23  0.000e+00  0.000e+00  0.000e+00  6.717e-07  1.061e-03  3.164e-02  9.673e-01 
 6.43   0.00     2.067e-03 -4.000  1.208e+00 0.618 8.167e+09 -4.955e-23  0.000e+00  0.000e+00  0.000e+00  7.719e-07  1.200e-03  3.400e-02  9.648e-01 
 6.42   0.00     2.067e-03 -4.000  1.208e+00 0.618 7.690e+09 -5.144e-23  0.000e+00  0.000e+00  1.059e-10  8.919e-07  1.365e-03  3.663e-02  9.620e-01 
 6.41   0.00     2.067e-03 -4.000  1.208e+00 0.618 7.251e+09 -5.330e-23  0.000e+00  0.000e+00  1.259e-10  1.026e-06  1.546e-03  3.942e-02  9.590e-01 
 6.40   0.00     2.067e-03 -4.000  1.208e+00 0.618 6.841e+09 -5.520e-23  0.000e+00  0.000e+00  1.493e-10  1.176e-06  1.748e-03  4.240e-02  9.559e-01 
 6.39   0.00     2.067e-03 -4.000  1.208e+00 0.618 6.444e+09 -5.728e-23  0.000e+00  0.000e+00  1.779e-10  1.356e-06  1.987e-03  4.574e-02  9.523e-01 
 6.38   0.00     2.067e-03 -4.000  1.208e+00 0.618 6.057e+09 -5.955e-23  0.000e+00  0.000e+00  2.132e-10  1.575e-06  2.273e-03  4.949e-02  9.482e-01 
 6.37   0.00     2.067e-03 -4.000  1.208e+00 0.618 5.693e+09 -6.191e-23  0.000e+00  0.000e+00  2.542e-10  1.816e-06  2.587e-03  5.343e-02  9.440e-01 
 6.36   0.00     2.067e-03 -4.000  1.208e+00 0.618 5.347e+09 -6.442e-23  0.000e+00  0.000e+00  3.026e-10  2.089e-06  2.938e-03  5.764e-02  9.394e-01 
 6.35   0.00     2.067e-03 -4.000  1.208e+00 0.618 5.011e+09 -6.717e-23  0.000e+00  0.000e+00  3.622e-10  2.418e-06  3.358e-03  6.238e-02  9.343e-01 
